0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:01:11 +0100] "GET /WebApplication2/NOMESERVIZIO_01.htm?parametro=1 HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:01:40 +0100] "GET /WebApplication2/NOMESERVIZIO.htm?parametro=yyyttt HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:02:20 +0100] "GET /WebApplication2/NOMESERVIZIO_01.htm?parametro=yyyttt HTTP/1.1" 404 1056
127.0.0.1 - - [05/Feb/2019:00:03:25 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:03:25 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:03:25 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:03:25 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:03:37 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:03:37 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:03:37 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:03:37 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:03:37 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:03:37 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:03:37 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:03:38 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:03:45 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:03:45 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:03:45 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:03:45 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:03:45 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [05/Feb/2019:00:03:46 +0100] "GET /manager/text/list HTTP/1.1" 200 255
127.0.0.1 - tomcat [05/Feb/2019:00:03:46 +0100] "GET /manager/text/list HTTP/1.1" 200 255
127.0.0.1 - tomcat [05/Feb/2019:00:03:46 +0100] "GET /manager/text/undeploy?path=/WebApplication2 HTTP/1.1" 200 72
127.0.0.1 - tomcat [05/Feb/2019:00:03:49 +0100] "GET /manager/text/deploy?config=file%3A%2Fvar%2Ffolders%2F1c%2Fg851qhds387cf7z065l4vwgc0000gp%2FT%2Fcontext6298489654571013819.xml&path=/WebApplication2 HTTP/1.1" 200 70
127.0.0.1 - tomcat [05/Feb/2019:00:03:49 +0100] "GET /manager/text/start?path=/WebApplication2 HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:04:05 +0100] "GET /WebApplication2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:06:16 +0100] "GET /WebApplication2/NOMESERVIZIO_01.htm HTTP/1.1" 404 1056
127.0.0.1 - - [05/Feb/2019:00:07:49 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:07:49 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:07:49 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:07:49 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [05/Feb/2019:00:07:50 +0100] "GET /manager/text/list HTTP/1.1" 200 255
127.0.0.1 - tomcat [05/Feb/2019:00:07:50 +0100] "GET /manager/text/list HTTP/1.1" 200 255
127.0.0.1 - tomcat [05/Feb/2019:00:07:51 +0100] "GET /manager/text/undeploy?path=/WebApplication2 HTTP/1.1" 200 72
127.0.0.1 - tomcat [05/Feb/2019:00:07:56 +0100] "GET /manager/text/deploy?config=file%3A%2Fvar%2Ffolders%2F1c%2Fg851qhds387cf7z065l4vwgc0000gp%2FT%2Fcontext5850110753040420207.xml&path=/WebApplication2 HTTP/1.1" 200 70
127.0.0.1 - tomcat [05/Feb/2019:00:07:56 +0100] "GET /manager/text/start?path=/WebApplication2 HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:08:11 +0100] "GET /WebApplication2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:08:24 +0100] "GET /WebApplication2/NOMESERVIZIO_01.htm HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [05/Feb/2019:00:08:39 +0100] "GET /WebApplication2/NOMESERVIZIO_01.htm HTTP/1.1" 404 1056
127.0.0.1 - - [05/Feb/2019:00:08:53 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:08:53 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:08:53 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:08:53 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:08:53 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:08:53 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:08:58 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:08:58 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:08:58 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [05/Feb/2019:00:08:58 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
